Probe ID,TargetID,ENTREZ_GENE_ID,log2(Fold change) D1 500vNT,Symmetrical raw fold changeD1 500vNT,FDRAdj p-val D1 500vNT,D1 500vNT DEG,log2(Fold change) D4 500vNT,Symmetrical raw fold change D4 500vNT,FDRAdj p-val D4 500vNT,D4 500vNTDEG,log2(Fold change) D7 500vNT,Symmetrical raw fold change D7 500vNT,FDRAdj p-val D7 500vNT,D7 500vNT DEG,log2(Fold change) D14 500vNT,Symmetrical raw fold change D14 500vNT,FDR Adj p-val D14 500vNT,D14 500vNT DEG,log2(Fold change)  D1 50vNT,Symmetrical raw fold change  D1 50vNT,FDR Adj p-val D1 50vNT,D1 50vNT DEG,log2(Fold change) D4 50vNT,Symmetrical raw fold change D4 50vNT,FDRAd p-val D4 50vNT,D4 50vNT DEG,log2(Fold change) D7 50vNT,Symmetrical raw fold change  D7 50vNT,FDRAdj p-val D7 50vNT,D7 50vNT DEG,log2(Fold change) D14 50vNT,Symmetrical raw fold change D14 50vNT,FDRAdj p-val D14 50vNT,D14 50vNT DEG,D14 50vNT DEG,D7 50vNT DEG,D4 50vNT DEG,D1 50vNT DEG,D14 500vNT DEG,D7 500vNT DEG,D4 500vNTDEG,D1 500vNT DEG,DEG DOWN ANY,DEG UP ANY
360373,C14ORF85,319085,-0.7856813,-1.723906,2.97596E-05,DOWN,-1.219457,-2.32859,3.76533E-08,DOWN,-0.5715681,-1.486138,0.01120503,DOWN,-1.225176,-2.33784,4.20478E-06,DOWN,-0.5144929,-1.428492,0.1724559,FALSE,-0.2235549,-1.167607,0.4738599,FALSE,-0.7973436,-1.737898,1.98673E-05,DOWN,-1.109774,-2.158119,3.24831E-06,DOWN,DOWN,DOWN,FALSE,FALSE,DOWN,DOWN,DOWN,DOWN,6,0
360445,ITPA,3704,0.2691194,1.205072,0.1034959,FALSE,-0.248631,-1.188079,0.05559658,FALSE,-0.5187016,-1.432665,0.001853445,DOWN,-0.6050299,-1.52101,0.01116697,DOWN,0.09896185,1.071002,0.8740679,FALSE,-0.2469002,-1.186655,0.2898237,FALSE,-0.1492302,-1.108978,0.2762475,FALSE,-0.554873,-1.469039,0.001949834,DOWN,DOWN,FALSE,FALSE,FALSE,DOWN,DOWN,FALSE,FALSE,3,0
380026,C1ORF116,79098,0.05635261,1.039834,0.7558669,FALSE,-1.044848,-2.063149,1.87346E-08,DOWN,-1.603923,-3.039688,2.58758E-07,DOWN,-1.184695,-2.273153,3.6592E-08,DOWN,-0.1858168,-1.137461,0.7429666,FALSE,-0.601328,-1.517112,0.002200731,DOWN,-1.883005,-3.688425,5.56469E-10,DOWN,-0.6932626,-1.616936,0.000220372,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,FALSE,6,0
380561,NEBL,10529,-0.6661387,-1.58682,1.15116E-05,DOWN,-0.9478988,-1.929061,9.3682E-10,DOWN,-1.166816,-2.245157,2.16905E-08,DOWN,-1.123159,-2.178234,2.34219E-10,DOWN,-0.06986411,-1.049618,0.9035245,FALSE,-0.5936947,-1.509107,0.000129608,DOWN,-1.364331,-2.57457,1.67677E-11,DOWN,-0.7156767,-1.642253,1.13034E-05,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,DOWN,7,0
430189,UPLP,100134938,-2.610884,-6.108781,1.34418E-12,DOWN,-2.791816,-6.925011,2.76224E-13,DOWN,-2.147588,-4.430864,9.87647E-09,DOWN,-3.67728,-12.79298,0,DOWN,-0.4001265,-1.319624,0.4070361,FALSE,-1.161886,-2.237497,0.001019197,DOWN,-3.139994,-8.815204,0,DOWN,-2.007041,-4.019569,1.45859E-08,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,DOWN,7,0
430541,TMEM45B,120224,-2.365132,-5.151999,9.8803E-13,DOWN,-1.807057,-3.499277,4.03912E-14,DOWN,-1.964152,-3.901833,7.72972E-11,DOWN,-2.100911,-4.289802,0,DOWN,-0.7338858,-1.663113,0.06828979,FALSE,-0.7866654,-1.725083,0.000794143,DOWN,-2.557975,-5.888804,0,DOWN,-1.164883,-2.24215,4.09083E-08,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,DOWN,7,0
450424,CXCR7,57007,-0.8485993,-1.800752,2.40051E-05,DOWN,-1.610267,-3.053084,1.25978E-10,DOWN,-2.251215,-4.760836,2.16268E-09,DOWN,-1.679246,-3.202605,4.29097E-10,DOWN,0.1934507,1.143495,0.7698666,FALSE,-1.469632,-2.769513,8.07415E-07,DOWN,-2.753588,-6.743922,7.38184E-14,DOWN,-1.05978,-2.084614,1.92469E-05,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,DOWN,7,0
450463,SERPINB7,8710,1.292578,2.449655,7.45562E-07,UP,-1.106091,-2.152616,5.54322E-07,DOWN,-1.097716,-2.140156,0.000104967,DOWN,-2.391747,-5.247926,1.0194E-13,DOWN,0.3198294,1.248183,0.6051267,FALSE,-0.6231352,-1.540219,0.01508688,DOWN,-1.259541,-2.394195,1.58052E-08,DOWN,-0.950205,-1.932147,0.000333073,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,UP,6,1
450551,KRT16,3868,-1.227699,-2.341932,7.59985E-08,DOWN,-2.314173,-4.973197,5.54117E-08,DOWN,-2.06937,-4.197034,5.05876E-07,DOWN,-4.266755,-19.24957,1.53209E-11,DOWN,-0.06584843,-1.0467,0.9257658,FALSE,-0.8741434,-1.832919,0.001575617,DOWN,-2.589171,-6.017527,1.16588E-08,DOWN,-1.638875,-3.11423,2.52253E-05,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,DOWN,7,0
450553,AHNAK,79026,-0.7504421,-1.682308,0.001265179,DOWN,-1.395171,-2.630197,8.06237E-09,DOWN,-1.296656,-2.456588,1.06788E-06,DOWN,-0.9364934,-1.913871,0.000133826,DOWN,0.08146425,1.058091,0.932032,FALSE,-0.4983085,-1.412556,0.04366198,FALSE,-2.076795,-4.218688,4.56713E-11,DOWN,-0.6572643,-1.577089,0.003869837,DOWN,DOWN,DOWN,FALSE,FALSE,DOWN,DOWN,DOWN,DOWN,6,0
